"№ п/п, № Отчета","Наименование объекта","Адрес объекта","Цель испытаний","Дата выполнения работ","Исполнители работ","Наименование заказчика",Электроустановка,"Среднее время заполнения линии (минуты)","Количество щитов","Наличие цепи: кол-во точек","Сопротивление изоляции: кол-во линий","Фаза-нуль: количество линий","УЗО: Количество УЗО","Автоматы: Количество Автоматов","Заземлителей: Кол-во ЗУ","Молниезащита: Кол-во МЗ","Затраченное время общее (минуты)","Затраченное время Планшетное (минуты)","Затраченное время Вебверсия (минуты)","Затраченное эффективное время общее (минуты)","Затраченное эффективное время Планшетное (минуты)","Затраченное эффективное время Вебверсия (минуты)","Среднее время межу щитами общее (минуты)","Среднее время межу щитами Планшетное (минуты)","Среднее время межу щитами Вебверсия (минуты)","Время старта","Время окончания",Инженер
1,1,1,Эксплуатационные,2021-07-01,"Аксенов С.А., Бунин А.В., Рязанов А.В., Рязанов А.В., Аксенов С.А., Травин Е.В., Аксенов С.А., Байнов С.А., Рязанов А.В., Рязанов А.В., Аксенов С.А., Бунин А.В., Рязанов А.В., Аксенов С.А., Лопатин И.А.",1,"Новая - Удовлетворительно",20.4,2,0,4,4,3,4,-,-,123971,1,123970,102,1,101,5630.4090909091,-,5630.4090909091,"2021-07-01 07:32","2021-10-28 06:54","Алексей Рязанов"
28.07.21-10.1,Школа,"г. Москва, Сумской проезд, 5А",Эксплуатационные,2021-07-28,"Кучерявых П.М., Аксенов С.А., Рязанов А.В.","Частное учреждение общеобразовательная организация Международная школа завтрашнего дня","Старая - Удовлетворительно",0.84234234234234,21,322,205,201,-,-,-,-,265,149,116,187,89,98,1.3181818181818,0.90909090909091,0.40909090909091,"2021-07-26 10:43","2021-08-01 17:56","совместный отчет"
18.11.21-14.1,Квартира,"г. Москва",Приёмо-сдаточные,2021-11-18,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","Опалев Александр Владимирович","Новая - Удовлетворительно",5.375,2,42,15,14,10,14,1,1,55170,42,55128,86,42,44,3060.2222222222,-,3060.2222222222,"2021-11-18 08:06","2022-01-10 11:22","Алексей Рязанов"
"25.11.21-10.1 ",Прачечная,"г. Москва, ул. Ходынский бульвар, д.4, ТЦ ""Авиапарк""",Приёмо-сдаточные,2021-11-25,"Рязанов А.В., Кучерявых П.М., Аксенов С.А.","ИП Чернобровкина Н.Г.","Новая - Удовлетворительно",0.068965517241379,1,54,20,20,-,27,-,-,2,1,1,2,1,1,-,-,-,"2021-11-26 09:34","2021-12-17 09:06","Алексей Рязанов"
"24.12.20-4.1 (копия)","The International School of Moscow","г. Москва,  ул. Крылатская д.12, д.12 стр.1, стр.2, д.10 стр.2, Тентовое сооружение «Спортивные Ангары»",Эксплуатационные,2020-12-24,"Рязанов А.В., Травин Е.В., Аксенов С.А.","ООО «Монтажно-сервисная компания  «Гарантия»","Старая - Удовлетворительно",-,100,1415,518,510,146,-,2,-,-,-,-,-,-,-,-,-,-,-,-,"совместный отчет"
"07.12.20-6.2 (копия)","Магазин парфюмерии и косметики «Л’ЭТУАЛЬ»","г. Москва, ул. Ярцевская, вл.19, ТЦ ""КУНЦЕВО-ПЛАЗА""",Эксплуатационные,2020-12-07,"Рязанов А.В., Кузин А.Н., Еселевский И.А.","ООО ""Алькор и Ко""","Новая - Удовлетворительно",-,4,54,41,41,15,54,-,-,-,-,-,-,-,-,-,-,-,-,-,"совместный отчет"
"25.11.21-10.1  (копия)",Прачечная,"г. Москва, ул. Ходынский бульвар, д.4, ТЦ ""Авиапарк""",Приёмо-сдаточные,2021-11-25,"Рязанов А.В., Кучерявых П.М., Аксенов С.А.","ИП Чернобровкина Н.Г.","Новая - Удовлетворительно",-,1,54,20,20,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,"совместный отчет"
"21/09/21-1.1 (копия)","Магазин парфюмерии и косметики «Л’ЭТУАЛЬ»","г. Москва, Дмитровское шоссе, 89 ТРЦ ""XL"".",Приёмо-сдаточные,2021-09-21,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО «Алькор и Ко»","Новая - Удовлетворительно",-,4,406,55,54,23,68,-,-,-,-,-,-,-,-,-,-,-,-,-,"совместный отчет"
11.07.20-7.1,"Гипермаркет ""Ашан""","Республика Адыгея, Тахтамукайский район, аул Новая Адыгея, ул. Тургеневское шоссе, 27, ТЦ Мега",Эксплуатационные,2020-12-02,"Рязанов А.В., Аксенов С.А., Кучерявых П. М.","ООО ""Ашан""","Новая - Удовлетворительно",1.5070921985816,71,-,-,-,-,-,-,-,15755,-,15755,1700,-,1700,15.211038961039,-,15.211038961039,"2020-12-02 07:21","2020-12-14 12:48","Аксенов Сергей"
23.12.20-7.1,"Многоквартирный жилой дом","г. Москва, 3-й Крутицкий пер., д. 15",Приёмо-сдаточные,2020-12-23,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО ""Бетта-Строй Групп""","Новая - Удовлетворительно",0.3,95,-,-,-,-,-,-,-,449,392,57,273,216,57,1.0352941176471,1.0352941176471,-,"2020-12-22 16:47","2020-12-24 06:30","Аксенов Сергей"
23.12.20-7.2,"Многоквартирный жилой дом","г. Москва, ул. Машиностроения 1-я, д.4, корп. 2.",Приёмо-сдаточные,2020-12-23,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО ""Бетта-Строй Групп""","Новая - Удовлетворительно",0.70909090909091,39,-,-,-,-,-,-,-,78,26,52,78,26,52,-,-,-,"2020-12-23 12:07","2020-12-24 07:16","Аксенов Сергей"
26.11.20-7.1,,"МО, Троицкий АО,поселение Новофёдоровское, деревня Яковлевское, д.14Б",,2020-12-26,-,"НИЦ Черкизово"," - ",1.0357142857143,1,-,-,-,-,-,-,-,29,29,-,29,29,-,-,-,-,"2020-12-26 14:27","2020-12-26 15:00","Аксенов Сергей"
28.12.20-07.1,"Магазин SODA пом.2039","г. Москва, Ходынский бульвар, д. 4",Приёмо-сдаточные,2020-12-28,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО «Алькор и Ко»","Новая - Удовлетворительно",1.85,1,-,-,-,-,-,-,-,37,8,29,37,8,29,-,-,-,"2020-12-28 07:15","2020-12-28 12:44","Аксенов Сергей"
28.12.20-07.2,"Магазин TWINKLE пом.2088.3","г. Москва, Ходынский бульвар, д. 4",Приёмо-сдаточные,2020-12-28,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО «Алькор и Ко»","Новая - Удовлетворительно",1.2777777777778,1,-,-,-,-,-,-,-,46,11,35,23,11,12,5.75,-,5.75,"2020-12-28 07:30","2020-12-28 13:25","Аксенов Сергей"
28.12.20-07.3,"Магазин DOLCE MILK пом.2108.2","г. Москва, Ходынский бульвар, д. 4",Приёмо-сдаточные,2020-12-28,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО «Алькор и Ко»","Новая - Удовлетворительно",0.94444444444444,1,-,-,-,-,-,-,-,1103,9,1094,17,9,8,362,-,362,"2020-12-28 07:33","2020-12-29 07:42","Аксенов Сергей"
28.12.20-07.4,"Магазин MORIKI DORIKI пом.4054","г. Москва, Ходынский бульвар, д. 4",Приёмо-сдаточные,2020-12-28,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО «Алькор и Ко»","Новая - Удовлетворительно",0.71428571428571,1,-,-,-,-,-,-,-,15,11,4,15,11,4,-,-,-,"2020-12-28 07:35","2020-12-28 13:47","Аксенов Сергей"
02.02.21-7.1,Склады,"г. Москва, ул. Маршала Макарова д.2",Эксплуатационные,2021-02-02,"Рязанов А.В., Аксенов С.А., Кузин А.Н.","АО ""Лираль-Ложистик""","Старая - Удовлетворительно",3.0342465753425,49,-,-,-,-,-,-,-,3182,684,2498,443,261,182,31.751324503311,2.8013245033113,28.95,"2021-02-02 07:34","2021-02-05 10:09","Аксенов Сергей"
08.02.21-7.1,"Учебное заведение","г. Москва, Волоколамское шоссе д.11",Приёмо-сдаточные,2021-02-08,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ФГБОУ ВО ""МГУПП""","Новая - Удовлетворительно",3.25,2,-,-,-,-,-,-,-,127,125,2,13,11,2,28.5,28.5,-,"2021-02-08 08:02","2021-02-08 10:35","Аксенов Сергей"
09.02.21-7.1,"Общежитие, ЦТП","г. Москва, Будайский проезд д.8, стр1, стр.2",Эксплуатационные,2021-02-09,"Рязанов А.В., Аксенов С.А., Кузин А.Н.","АО ""ПТМ""","Старая - Удовлетворительно",-0.99457504520796,48,-,-,-,-,-,-,-,1708,1487,221,-550,414,-964,27.288628762542,3.5886287625418,23.7,"2021-02-09 06:36","2021-02-11 11:27","Аксенов Сергей"
19.01.21-7.1,Котельная,"МО, г.Химки, Транспортный пр.3",Приёмо-сдаточные,2021-01-29,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО""ИРКОМ""","Новая - Удовлетворительно",-,0,-,-,-,-,-,-,-,202,201,1,24,23,1,19.777777777778,19.777777777778,-,"2021-02-18 08:07","2021-02-18 12:40","Аксенов Сергей"
20.02.21-07,"БЦ ""OMEGA PLAZA"" 4й этаж","г.Москва, ул. Ленинская Слобода д.19",Эксплуатационные,2021-02-20,"Рязанов А.В., Аксенов С.А., Еселевский И.А.","ИП Мещеряков С.А.","Новая - Удовлетворительно",1.8561151079137,18,-,-,-,-,-,-,-,4319,216,4103,258,216,42,225.61111111111,-,225.61111111111,"2021-02-20 04:56","2021-02-23 08:08","Аксенов Сергей"
24.02.21-7.1,"Офисные помещения 3го и 7го этажей","г. Москва, ул. Кантемировская д.58",Эксплуатационные,2021-02-24,"Рязанов А.В., Аксенов С.А., Лопатин И.А.","ООО "" Студио Модерна""","Новая - Удовлетворительно",1.2151394422311,21,-,-,-,-,-,-,-,368,344,24,305,281,24,0.34426229508197,0.34426229508197,-,"2021-02-24 05:14","2021-02-25 13:42","Аксенов Сергей"
28.02.21-07.1,"Клиника амбулаторного гемодиализа","г. Москва, ул. Песчаный карьер д.3, стр.1, 1-й этаж",Эксплуатационные,2021-02-28,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО ""КОМПАНИЯ""ФЕСФАРМ""","Новая - Удовлетворительно",0.77486910994764,21,-,-,-,-,-,-,-,164,157,7,148,141,7,0.15841584158416,0.15841584158416,-,"2021-02-28 05:22","2021-02-28 11:19","Аксенов Сергей"
04.03.21-7.1,Магазин,"г.Москва, Старомарьинское шоссе, д.3",Приёмо-сдаточные,2021-03-04,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО ""СК""Лидер""","Новая - Удовлетворительно",1.3684210526316,1,-,-,-,-,-,-,-,26,26,-,26,26,-,-,-,-,"2021-03-04 09:48","2021-03-04 11:46","Аксенов Сергей"
11.03.21-7.1,Пищеблок,"МО, г. Дзержинский, ул. Томилинская д.16",Эксплуатационные,2021-03-11,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","МБДОУ КВ""Детский сад №6 ""Солнышко""","Новая - Удовлетворительно",3.0625,6,-,-,-,-,-,-,-,49,46,3,49,46,3,-,-,-,"2021-03-11 06:57","2021-03-11 13:53","Аксенов Сергей"
12.03.21-7.1,"Ресторанный комплекс ""Экспедиция""","г. Москва, Певческий переулок д.6",Эксплуатационные,2021-03-12,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО ""Северный Бот""","Старая - Удовлетворительно",1.2296650717703,32,-,-,-,-,-,-,-,323,255,68,257,189,68,0.49253731343284,0.49253731343284,-,"2021-03-12 05:51","2021-03-12 14:26","Аксенов Сергей"
28.03.2021-7.1,ТП-4,"г. Москва Дмитровское шоссе, дом 58.",Эксплуатационные,2021-03-28,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","АО ""Фазотрон-ВМЗ""","Старая - Удовлетворительно",3.8888888888889,3,25,27,19,-,-,-,-,653,546,107,105,88,17,23.508305647841,10.651162790698,12.857142857143,"2021-03-24 11:26","2021-03-28 15:29","Аксенов Сергей"
30.03.21-7.1,"Лабораторный комплекс","МО, г.Люберцы, Октябрьский проспект, д.183",Эксплуатационные,2021-03-30,"Рязанов А.В., Аксенов С.А., Бунин А.В.","ООО ""Лаборатория Гемотест""","Новая - Удовлетворительно",0.050235478806907,52,-,-,-,-,-,-,-,38537,877,37660,32,208,-176,71.035207612457,5.575,65.460207612457,"2021-03-30 07:19","2021-05-03 09:15","Аксенов Сергей"
04.04.21-7.1,"Магазин парфюмерии и косметики ""Л'ЭТУАЛЬ""","г. Москва, ул. Воронцовская, д. 49/28, стр. 1. ТЦ Сотый",Приёмо-сдаточные,2021-04-04,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО""Алькор и Ко""","Новая - Удовлетворительно",0.93670886075949,3,285,76,73,25,76,-,-,74,70,4,74,70,4,-,-,-,"2021-04-04 07:35","2021-04-04 13:10","Аксенов Сергей"
10.04.21-7.1,"Офисные и складские помещения","г. Москва, ул. Магистральная 3-я , д. 12, стр. 1",Эксплуатационные,2021-04-10,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО «ДельтаСтройПроект»","Старая - Удовлетворительно",2.0964912280702,102,1055,841,690,-,-,-,-,53312,464,52848,1912,318,1594,68.526961839312,0.82022471910112,67.706737120211,"2021-04-09 18:00","2021-07-29 08:09","совместный отчет"
12.04.21-7.1,"Гипермаркет Декатлон Лефортово","г. Москва, д.12, корп.2, ТК ""Город"" 2 этаж",Эксплуатационные,2021-04-12,"Рязанов А.В., Аксенов С.А., Еселевский И.А.","ООО ""ДеФортис-Дис""","Новая - Удовлетворительно",1.3703703703704,6,39,16,11,3,22,-,-,52,48,4,37,33,4,0.68181818181818,0.68181818181818,-,"2021-04-12 09:16","2021-04-12 13:23","Аксенов Сергей"
14.04.21-7.1,Квартира,"г. Москва, ул. Крылатская, д.45, корпус 2, кв.45","Контрольные испытания",2021-04-14,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","Шелепов Александр","Новая - Удовлетворительно",1.0192307692308,2,88,51,40,8,-,-,-,53,53,-,53,53,-,-,-,-,"2021-04-14 13:18","2021-04-14 17:25","Аксенов Сергей"
18.04.21-7.1,Квартира,"МО, г. Мытищи, Тенистый бульвар д.13, п.10, кв.327",Приёмо-сдаточные,2021-04-18,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","Джарагян Марина","Новая - Удовлетворительно",2.9,1,11,10,9,4,9,-,-,127,17,110,29,17,12,32.666666666667,-,32.666666666667,"2021-04-18 12:50","2021-04-19 06:22","Аксенов Сергей"
20.04.21-7.1,Квартира,"г. Москва, Хорошевское шоссе, д.25А, корп.2, кв. 439",Приёмо-сдаточные,2021-04-20,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","Журило Олег Владимирович","Новая - Удовлетворительно",1,1,23,21,20,7,20,-,-,21,20,1,21,20,1,-,-,-,"2021-04-20 14:11","2021-04-20 18:39","Аксенов Сергей"
23.04.21-7.1,"ЖСК ""Иволга""","г. Москва, ул. Айвазовского, д.6, корп.1, подъезд 9-15",Эксплуатационные,2021-04-23,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО ""УК ""ЖКХ""ЖилКомфортСервис""","Старая - ",0.82089552238806,6,46,51,51,-,-,-,-,55,-,55,55,-,55,-,-,-,"2021-04-23 13:25","2021-04-23 14:21","Аксенов Сергей"
23.04.21-7.2,"ЖСК ""Дивногорск""","г. Москва, Литовский б-р., д.5/10, подъезд 7-8",Эксплуатационные,2021-04-23,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО ""УК ""ЖКХ""ЖилКомфортСервис""","Старая - Удовлетворительно",0.81159420289855,11,87,69,66,-,-,-,-,74,-,74,56,-,56,0.39130434782609,-,0.39130434782609,"2021-04-23 14:29","2021-04-23 15:45","Аксенов Сергей"
23.04.21-7.3,"ЖСК ""Термез""","г. Москва, Литовский б-р, д.5/10, подъезд 1-2",Эксплуатационные,2021-04-23,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО ""УК ""ЖКХ""ЖилКомфортСервис""","Старая - Удовлетворительно",1.0961538461538,10,43,48,48,-,-,-,-,57,-,57,57,-,57,-,-,-,"2021-04-23 16:01","2021-04-23 16:56","Аксенов Сергей"
26.04.21-7.1,"Производственные помещения","г. Москва, ул. Авиамоторная, дом 53 корпус 26",Эксплуатационные,2021-04-26,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","АО ""НПК ""СПП""","Старая - Удовлетворительно",1.4189602446483,66,1195,554,504,-,-,-,-,13481,579,12902,928,358,570,38.625467952354,1.0279069767442,37.59756097561,"2021-04-26 05:40","2021-05-12 16:48","Аксенов Сергей"
26.04.21-7.2,"Производственные помещения","г. Москва, ул. Авиамоторная, дом 53 корпус 19, 23, 26",Эксплуатационные,2021-04-26,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","АО ""НПК ""СПП""","Старая - Удовлетворительно",-,0,-,-,-,-,-,6,-,2093,-,2093,13,-,13,346.66666666667,-,346.66666666667,"2021-05-11 06:00","2021-05-12 16:57","Аксенов Сергей"
